Наименование;Код
Алтайский край;01
Краснодарский край;03
Красноярский край;04
Приморский край;05
Ставропольский край;07
Хабаровский край;08
Амурская область;10
Архангельская область;11
Астраханская область;12
Белгородская область;14
Брянская область;15
Владимирская область;17
Волгоградская область;18
Вологодская область;19
Воронежская область;20
Нижегородская область;22
Ивановская область;24
Иркутская область;25
Республика Ингушетия;26
Калининградская область;27
Тверская область;28
Калужская область;29
Камчатский край;30
Кемеровская область;32
Кировская область;33
Костромская область;34
Самарская область;36
Курганская область;37
Курская область;38
Город Санкт-Петербург город федерального значения;40
Ленинградская область;41
Липецкая область;42
Магаданская область;44
Город Москва столица Российской Федерации город федерального значения;45
Московская область;46
Мурманская область;47
Новгородская область;49
Новосибирская область;50
Омская область;52
Оренбургская область;53
Орловская область;54
Пензенская область;56
Пермский край;57
Псковская область;58
Ростовская область;60
Рязанская область;61
Саратовская область;63
Сахалинская область;64
Свердловская область;65
Смоленская область;66
Тамбовская область;68
Томская область;69
Тульская область;70
Тюменская область;71
Ульяновская область;73
Челябинская область;75
Забайкальский край;76
Чукотский автономный округ;77
Ярославская область;78
Республика Адыгея (Адыгея);79
Республика Башкортостан;80
Республика Бурятия;81
Республика Дагестан;82
Кабардино-Балкарская Республика;83
Республика Алтай;84
Республика Калмыкия;85
Республика Карелия;86
Республика Коми;87
Республика Марий Эл;88
Республика Мордовия;89
Республика Северная ОсетияАлания;90
Карачаево-Черкесская Республика;91
Республика Татарстан (Татарстан);92
Республика Тыва;93
Удмуртская Республика;94
Республика Хакасия;95
Чеченская Республика;96
Чувашская Республика-Чувашия;97
Республика Саха (Якутия);98
Еврейская автономная область;99
